unvocalized,vocalized,jamid,root
ألم,أَلَّمَ,0,
أنس,أَنَّسَ,0,ءنس
أصل,أَصَّلَ,0,ءصل
أهب,أَهَّبَ,0,هبب
تأوه,تَأَوَّهَ,0,ءوي
أود,أَوَّدَ,0,ءود
أخر,أَخَّرَ,0,ءخر
أدب,أَدَّبَ,0,ءدب
أصد,أَصَّدَ,0,صدد
أجج,أَجَّجَ,0,ءجج
آجر,آجَرَ,1,ءجر
آمر,آمَرَ,0,ءمر
آثم,آثَمَ,0,ءثم
آكل,آكَلَ,0,ءكل
آخذ,آخَذَ,0,ءخذ
آدب,آدَبَ,0,ءدب
آزر,آزَرَ,0,ءزر
آنس,آنَسَ,0,ءنس
آنق,آنَقَ,0,ءنق
آكل,آكَلَ,0,ءكل
عثر,عَثَرَ,0,عثر
آخذ,آخَذَ,0,ءخذ
آذن,آذَنَ,0,ءذن
آرق,آرَقَ,0,ءرق
آكل,آكَلَ,0,ءكل
آكد,آكَدَ,0,ءكد
آكل,آكَلَ,0,ءكل
آجر,آجَرَ,1,ءجر
آنف,آنَفَ,0,ءنف
آثر,آثَرَ,0,ءثر
آمن,آمَنَ,0,ءمن
آنض,آنَضَ,0,ءنض
آنث,آنَثَ,0,ءنث
آلف,آلَفَ,0,ءلف
آنس,آنَسَ,0,ءنس
آزف,آزَفَ,0,ءزف
آلم,آلَمَ,0,ءلم
آلف,آلَفَ,0,ءلف
تأله,تَأَلَّهَ,0,ءلو
تأسف,تَأَسَّفَ,0,ءسف
تأمل,تَأَمَّلَ,0,ءمل
تأيد,تَأَيَّدَ,0,ءيد
تأخر,تَأَخَّرَ,0,ءخر
تأزم,تَأَزَّمَ,0,ءزم
تأفف,تَأَفَّفَ,0,ءفف
تألف,تَأَلَّفَ,0,ءلف
تأدب,تَأَدَّبَ,0,ءدب
تأبط,تَأَبَّطَ,0,ءبط
تأثر,تَأَثَّرَ,0,ءثر
تألق,تَأَلَّقَ,0,ءلق
تأمر,تَأَمَّرَ,0,ءمر
تأجل,تَأَجَّلَ,0,ءجل
تأثث,تَأَثَّثَ,0,ءثث
تأكد,تَأَكَّدَ,0,ءكد
تأكل,تَأَكَّلَ,0,ءكل
تأنث,تَأَنَّثَ,0,ءنث
تأهب,تَأَهَّبَ,0,ءهب
تأجج,تَأَجَّجَ,0,ءجج
تأسس,تَأَسَّسَ,0,ءسس
تأنق,تَأَنَّقَ,0,ءنق
تألم,تَأَلَّمَ,0,ءلم
تألب,تَأَلَّبَ,0,ءلب
تأسد,تَأَسَّدَ,0,ءسد
تأبد,تَأَبَّدَ,0,ءبد
تأنس,تَأَنَّسَ,0,ءنس
تأهل,تَأَهَّلَ,0,ءهل
تآكل,تَآكَلَ,0,ءكل
تآزر,تَآزَرَ,0,ءزر
تآمر,تَآمَرَ,0,ءمر
تآلف,تَآلَفَ,0,ءلف
تآنس,تَآنَسَ,0,ءنس
استأذن,اِسْتَأْذَنَ,0,ءذن
استأنس,اِسْتَأْنَسَ,0,ءنس
استأصل,اِسْتَأْصَلَ,0,ءصل
استأسد,اِسْتَأْسَدَ,0,ءسد
استأجر,اِسْتَأْجَرَ,0,ءجر
استأنف,اِسْتَأْنَفَ,0,ءنف
استألف,اِسْتَأْلَفَ,0,ءلف
استأهل,اِسْتَأْهَلَ,0,ءهل
استأثر,اِسْتَأْثَرَ,0,ءثر
ائتكل,اِئْتَكَلَ,0,ءكل
ائتثر,اِئْتَثَرَ,0,ءثر
ائتزر,اِئْتَزَرَ,0,ءزر
ائتلق,اِئْتَلَقَ,0,ءلق
ائتمن,اِئْتَمَنَ,0,ءيم
ائتلف,اِئْتَلَفَ,0,ءلف
ائتمر,اِئْتَمَرَ,0,ءمر
سأل,سَأَلَ,0,سءل
يئس,يَئِسَ,0,يءس
دأب,دَأَبَ,0,دءب
لأم,لَأَمَ,1,لءم
جأش,جَأَشَ,0,جءش
رأب,رَأَبَ,0,رءب
جأر,جَأَرَ,0,جءر
رئس,رَئِسَ,0,رءس
ذأف,ذَأَفَ,0,ذءف
رأس,رَأَسَ,1,رءس
ثأر,ثَأَرَ,0,ثءر
ذئب,ذَئِبَ,1,ذءب
ذأب,ذَأَبَ,0,ذءب
رئف,رَئِفَ,0,رءف
ذأم,ذَأَمَ,0,ذءم
دأب,دَأَبَ,0,دءب
كئب,كَئِبَ,0,كءب
زأر,زَأَرَ,0,زءر
زئر,زَئِرَ,0,زءر
دأم,دَأَمَ,0,دءم
ثئب,ثَئِبَ,0,ثءب
سئم,سَئِمَ,0,سءم
دأل,دَأَلَ,0,دءل
تأر,تَأَرَ,0,تءر
شأم,شَأَمَ,0,شءم
رأس,رَأَسَ,1,رءس
رأف,رَأَفَ,0,رءف
زأم,زَأَمَ,0,زءم
بئس,بَئِسَ,1,
لؤم,لَؤُمَ,0,لءم
رؤف,رَؤُفَ,0,رءف
ضؤل,ضَؤُلَ,0,ضءل
يأس,يَأَّسَ,1,يءس
رأس,رَأَّسَ,1,رءس
طمأن,طَمْأَنَ,0,طمءن
شاءم,شَاءَمَ,0,شءم
واءم,وَاءَمَ,0,وءم
ضاءل,ضَاءَلَ,0,ضءل
تاءم,تَاءَمَ,0,تءم
لاءم,لَاءَمَ,0,لءم
ساءل,سَاءَلَ,0,سءل
ألأم,أَلْأَمَ,0,لءم
أذأب,أَذْأَبَ,0,ذءب
أدأب,أَدْأَبَ,0,دءب
ترأف,تَرَأَّفَ,0,رءف
ترأم,تَرَأَّمَ,0,رءم
ترأس,تَرَأَّسَ,0,رءس
تساءل,تَسَاءَلَ,0,سءل
تلاءم,تَلَاءَمَ,0,لءم
تفاءل,تَفَاءَلَ,0,فءل
تضاءل,تَضَاءَلَ,0,ضءل
تذاءب,تَذَاءَبَ,0,ذءب
تواءم,تَوَاءَمَ,0,وءم
تثاءب,تَثَاءَبَ,0,ثءب
تشاءم,تَشَاءَمَ,0,شءم
ارتأس,اِرْتَأَسَ,0,رءس
استرأف,اِسْتَرْأَفَ,0,رءف
استيأس,اِسْتَيْأَسَ,0,
اكتأب,اِكْتَأَبَ,0,كءب
ابتأس,اِبْتَأَسَ,0,بءس
التأم,اِلْتَأَمَ,0,لءم
نجأ,نَجَأَ,0,نجء
نبأ,نَبَأَ,1,نبء
كمأ,كَمَأَ,0,كمء
هنأ,هَنَأَ,0,هنء
نزأ,نَزَأَ,0,نزء
فجأ,فَجَأَ,0,فجء
حطأ,حَطَأَ,0,حطء
رشأ,رَشَأَ,1,رشء
صبأ,صَبَأَ,0,
صدأ,صَدَأَ,0,صدء
طرأ,طَرَأَ,0,طرء
هرأ,هَرَأَ,0,هرء
كفأ,كَفَأَ,0,كفء
جزأ,جَزَأَ,0,جزء
هرأ,هَرَأَ,0,هرء
فقأ,فَقَأَ,0,فقء
هجأ,هَجَأَ,0,هجء
رفأ,رَفَأَ,0,رفء
كلأ,كَلَأَ,1,كلء
خبأ,خَبَأَ,0,خبء
درأ,دَرَأَ,0,درء
دنأ,دَنَأَ,0,دنء
قرأ,قَرَأَ,0,قرء
كلأ,كَلَأَ,1,كلء
ذرأ,ذَرَأَ,0,ذرء
نسأ,نَسَأَ,0,نسء
بذأ,بَذَأَ,0,بذء
نكأ,نَكَأَ,0,نكء
همأ,هَمَأَ,0,همء
نشأ,نَشَأَ,0,نشء
لطأ,لَطَأَ,0,لطء
مرأ,مَرَأَ,0,مرء
شنأ,شَنَأَ,0,شنء
نتأ,نَتَأَ,0,نتء
هزأ,هَزَأَ,0,هزء
هنأ,هَنَأَ,0,هنء
نزأ,نَزَأَ,0,نزء
جشأ,جَشَأَ,0,جشء
ملأ,مَلَأَ,1,ملء
بدأ,بَدَأَ,0,بدء
برأ,بَرَأَ,0,برء
لمأ,لَمَأَ,0,لمء
عبأ,عَبَأَ,0,عبء
لكأ,لَكَأَ,0,لكء
هدأ,هَدَأَ,0,هدء
ربأ,رَبَأَ,0,ربء
هزأ,هَزَأَ,0,هزء
رزأ,رَزَأَ,0,رزء
لجأ,لَجَأَ,0,لجء
خسأ,خَسَأَ,0,خسء
كمئ,كَمِئَ,0,كمء
برئ,بَرِئَ,0,برء
ظمئ,ظَمِئَ,0,ظمء
بذئ,بَذِئَ,0,بذء
لكئ,لَكِئَ,0,لكء
طفئ,طَفِئَ,0,طفء
برئ,بَرِئَ,0,برء
دفئ,دَفِئَ,0,دفء
صدئ,صَدِئَ,0,صدء
هوئ,هَوِئَ,0,
خطئ,خَطِئَ,0,خطء
هجئ,هَجِئَ,0,هجء
هنئ,هَنِئَ,0,هنء
هدئ,هَدِئَ,0,هدء
لطئ,لَطِئَ,0,لطء
كلئ,كَلِئَ,0,كلء
مرئ,مَرِئَ,0,مرء
هرئ,هَرِئَ,0,هرء
هزئ,هَزِئَ,0,هزء
هيئ,هَيِئَ,0,هيء
تكئ,تَكِئَ,0,كيء
برأ,بَرَّأَ,0,برء
رفأ,رَفَّأَ,0,رفء
وطأ,وَطَّأَ,0,وطء
جزأ,جَزَّأَ,0,جزء
بوأ,بَوَّأَ,0,بوء
ظمأ,ظَمَّأَ,0,ظمء
خبأ,خَبَّأَ,0,خبء
فيأ,فَيَّأَ,0,فيء
هرأ,هَرَّأَ,0,هرء
عبأ,عَبَّأَ,0,عبء
نبأ,نَبَّأَ,1,نبء
وضأ,وَضَّأَ,0,وضء
ضوأ,ضَوَّأَ,0,ضوء
نشأ,نَشَّأَ,0,نشء
قيأ,قَيَّأَ,0,قيء
شيأ,شَيَّأَ,0,شيء
هيأ,هَيَّأَ,0,هيء
بطأ,بَطَّأَ,0,بطء
هنأ,هَنَّأَ,0,هنء
كلأ,كَلَّأَ,1,كلء
مرأ,مَرَّأَ,0,مرء
لجأ,لَجَّأَ,0,لجء
جشأ,جَشَّأَ,0,جشء
خطأ,خَطَّأَ,1,خطء
جرأ,جَرَّأَ,0,جرء
دفأ,دَفَّأَ,0,دفء
هدأ,هَدَّأَ,0,هدء
ومأ,وَمَّأَ,0,ومء
دارأ,دَارَأَ,0,درء
فاجأ,فَاجَأَ,0,فجء
كافأ,كَافَأَ,0,كفء
بادأ,بَادَأَ,0,بدء
قارأ,قَارَأَ,0,قرء
مالأ,مَالَأَ,0,ملء
واكأ,وَاكَأَ,0,وكء
باطأ,بَاطَأَ,0,بطء
واضأ,وَاضَأَ,0,وضء
واطأ,وَاطَأَ,0,وطء
أدفأ,أَدْفَأَ,0,دفء
أطفأ,أَطْفَأَ,0,طفء
أخطأ,أَخْطَأَ,0,خطء
أهدأ,أَهْدَأَ,0,هدء
أبرأ,أَبْرَأَ,0,برء
أبطأ,أَبْطَأَ,0,بطء
أدنأ,أَدْنَأَ,0,دنء
أوطأ,أَوْطَأَ,0,وطء
أظمأ,أَظْمَأَ,0,ظمء
أقرأ,أَقْرَأَ,0,قرء
أصدأ,أَصْدَأَ,0,صدء
أهرأ,أَهْرَأَ,0,هرء
أهمأ,أَهْمَأَ,0,همء
أكمأ,أَكْمَأَ,0,كمء
أنوأ,أَنْوَأَ,0,نوء
أنبأ,أَنْبَأَ,1,نبء
أنشأ,أَنْشَأَ,0,
أردأ,أَرْدَأَ,0,ردء
أبذأ,أَبْذَأَ,0,بذء
أومأ,أَوْمَأَ,0,ومء
أكفأ,أَكْفَأَ,0,كفء
أتكأ,أَتْكَأَ,0,وكء
أوبأ,أَوْبَأَ,0,وبء
أكلأ,أَكْلَأَ,0,كلء
ألجأ,أَلْجَأَ,0,لجء
أرجأ,أَرْجَأَ,0,رجء
تهنأ,تَهَنَّأَ,0,هنء
تضوأ,تَضَوَّأَ,0,ضوء
تفيأ,تَفَيَّأَ,0,فيء
توكأ,تَوَكَّأَ,0,وكء
تجشأ,تَجَشَّأَ,0,جشء
توطأ,تَوَطَّأَ,0,وطء
تفقأ,تَفَقَّأَ,0,فقء
توضأ,تَوَضَّأ,0,وضء
تبطأ,تَبَطَّأَ,0,بطء
تملأ,تَمَلَّأَ,0,ملء
تدنأ,تَدَنَّأَ,0,دنء
تلكأ,تَلَكَّأَ,0,لكء
تخطأ,تَخَطَّأَ,0,خطء
تخبأ,تَخَبَّأَ,0,خبء
تدفأ,تَدَفَّأَ,0,دفء
تقيأ,تَقَيَّأَ,0,قيء
تهرأ,تَهَرَّأَ,0,هرء
تمرأ,تَمَرَّأَ,0,مرء
تبرأ,تَبَرَّأَ,0,برء
تنشأ,تَنَشَّأَ,0,نشء
تنبأ,تَنَبَّأَ,0,نبء
تكمأ,تَكَمَّأَ,0,كمء
تبوأ,تَبَوَّأَ,0,بوء
تجرأ,تَجَرَّأَ,0,جرء
تهيأ,تَهَيَّأَ,0,هيء
تهزأ,تَهَزَّأَ,0,هزء
تجزأ,تَجَزَّأَ,0,جزء
تباطأ,تَبَاطَأَ,0,بطء
تكافأ,تَكَافَأَ,0,كفء
تواطأ,تَوَاطَأَ,0,وطء
تخاطأ,تَخَاطَأَ,0,خطء
ادارأ,اِدَّارَأَ,0,درء
انطفأ,اِنْطَفَأَ,0,طفء
اختبأ,اِخْتَبَأَ,0,خبء
اجتشأ,اِجْتَشَأَ,0,جشء
اتكأ,اِتَّكَأَ,0,وكء
استبطأ,اسْتَبْطَأَ,0,بطء
اجترأ,اِجْتَرَأَ,0,جرء
استمرأ,اِسْتَمْرَأَ,0,مرء
استقرأ,اِسْتَقْرَأَ,0,قرء
استدفأ,اِسْتَدْفَأَ,0,دفء
انفقأ,اِنْفَقَأَ,0,فقء
استهزأ,اِسْتَهْزَأَ,0,هزء
ابتدأ,اِبْتَدَأَ,0,
امتلأ,اِمْتَلَأَ,0,ملء
التجأ,اِلْتَجَأَ,0,لجء
انكفأ,اِنْكَفَأَ,0,كفء
وحل,وَحَلَ,0,وحل
وصم,وَصَمَ,0,وصم
ولق,وَلَقَ,0,ولق
وصد,وَصَدَ,0,وصد
وحن,وَحَنَ,0,وحن
وهف,وَهَفَ,0,وهف
وجف,وَجَفَ,0,وجف
ودج,وَدَجَ,0,ودج
وثب,وَثَبَ,0,وثب
وشق,وَشَقَ,0,وشق
وضع,وَضَعَ,0,وضع
وقف,وَقَفَ,0,وقف
وجه,وَجَهَ,0,وجه
ودف,وَدَفَ,1,دفف
وزف,وَزَفَ,0,وزف
وجر,وَجَرَ,0,وجر
وغل,وَغَلَ,0,غلي
وجم,وَجَمَ,0,وجم
وجب,وَجَبَ,0,وجب
وسط,وَسَطَ,0,وسط
ورع,وَرَعَ,0,ورع
وسن,وَسِنَ,0,وسن
وحد,وَحَدَ,0,وحد
وصل,وَصَلَ,0,وصل
وسع,وَسَعَ,0,وسع
وثن,وَثَنَ,1,وثن
وهج,وَهَجَ,0,وهج
وجب,وَجَبَ,0,وجب
وسخ,وَسِخَ,0,وسخ
وله,وَلَهَ,0,
وسق,وَسَقَ,0,وسق
وزر,وَزَرَ,0,وزر
ورط,وَرَطَ,0,ورط
ورف,وَرَفَ,0,ورف
ودق,وَدَقَ,0,ودق
وخم,وَخَمَ,0,وخم
وسط,وَسَطَ,0,وسط
وصب,وَصَبَ,0,وصب
وعر,وَعَرَ,0,وعر
ودن,وَدَنَ,0,ودن
وسم,وَسَمَ,0,وسم
وزع,وَزَعَ,0,وزع
ورك,وَرَكَ,0,وري
ورع,وَرَعَ,0,ورع
وكر,وَكَرَ,0,وكر
وشم,وَشَمَ,0,وشم
وكن,وَكَنَ,0,وكن
وكد,وَكَدَ,0,وكد
وسع,وَسِعَ,0,وسع
وصل,وَصَلَ,0,وصل
وخط,وَخَطَ,0,وخط
وهن,وَهَنَ,0,
وجس,وَجَسَ,0,وجس
وتن,وَتَنَ,0,وتن
وقر,وَقَرَ,0,وقر
وزن,وَزَنَ,0,وزن
وسق,وَسَقَ,0,وسق
وثف,وَثَفَ,0,وثف
وهل,وَهَلَ,0,
وثر,وَثَرَ,0,وثر
وهل,وَهِلَ,0,
ورق,وَرَقَ,0,ورق
وجد,وَجَدَ,0,وجد
وغر,وَغَرَ,0,وغر
وزغ,وَزَغَ,1,وزغ
وسط,وَسَطَ,0,وسط
وقر,وَقَرَ,0,وقر
وظب,وَظَبَ,0,وظب
وعق,وَعَقَ,0,وعق
وكد,وَكَدَ,0,وكد
وثل,وَثَلَ,0,وثل
ولع,وَلَعَ,0,ولع
وقب,وَقَبَ,0,وقب
وذر,وَذَرَ,0,وذر
وضع,وَضَعَ,0,وضع
وجز,وَجَزَ,0,وجز
وطن,وَطَنَ,1,وطط
وبر,وَبَرَ,0,وبر
وده,وَدَهَ,0,ودد
وشر,وَشَرَ,0,وشر
ولغ,وَلَغَ,0,ولغ
وخف,وَخَفَ,0,وخف
وجد,وَجَدَ,0,وجد
ولع,وَلَعَ,0,ولع
وقف,وَقَفَ,0,وقف
وتد,وَتَدَ,0,وتد
ومق,وَمَقَ,0,ومق
وكب,وَكَبَ,0,وكب
ودع,وَدَعَ,0,ودع
ورك,وَرَكَ,0,وري
وفر,وَفَرَ,0,وفر
وغد,وَغَدَ,1,وغد
ولب,وَلَبَ,0,لبي
وبق,وَبِقَ,0,وبق
وعد,وَعَدَ,0,وعد
ولف,وَلَفَ,0,ولف
وقح,وَقَحَ,0,وقح
ورد,وَرَدَ,0,ورد
وعز,وَعَزَ,0,وعز
وضع,وَضَعَ,0,وضع
وقد,وَقَدَ,0,
وعد,وَعَدَ,0,وعد
ورش,وَرَشَ,0,ورش
وخز,وَخَزَ,0,وخز
وهب,وَهَبَ,0,
ورس,وَرَسَ,0,ورس
وظب,وَظَبَ,0,وظب
ولد,وَلَدَ,0,ولد
وضح,وَضَحَ,0,وضح
وعب,وَعَبَ,0,وعب
وهم,وَهَمَ,0,
وهف,وَهَفَ,0,وهف
وقع,وَقَعَ,0,وقع
وقت,وَقَتَ,0,
وفد,وَفَدَ,0,وفد
وطد,وَطَدَ,0,وطد
وبل,وَبَلَ,0,وبل
وشج,وَشَجَ,0,وشج
وقع,وَقَعَ,0,وقع
وكل,وَكَلَ,0,
وكف,وَكَفَ,0,وكف
وفض,وَفَضَ,0,وفض
وقر,وَقَرَ,0,وقر
وظف,وَظَفَ,0,وظف
وسل,وَسَلَ,0,وسل
وحش,وَحَشَ,0,وحش
وعك,وَعَكَ,0,وعي
ودن,وَدَنَ,0,ودن
وقع,وَقَعَ,0,وقع
وصف,وَصَفَ,0,وصف
وكر,وَكَرَ,0,وكر
وبق,وَبَقَ,0,وبق
وتن,وَتَنَ,0,وتن
وجد,وَجَدَ,0,وجد
وزر,وَزَرَ,0,وزر
وجد,وَجَدَ,0,وجد
ومض,وَمَضَ,0,ومض
وجب,وَجَبَ,0,وجب
ولج,وَلَجَ,0,ولج
وجن,وَجَنَ,1,وجج
وحف,وَحَفَ,0,وحف
وثق,وَثِقَ,1,وثق
وتر,وَتَرَ,0,وتر
وعظ,وَعَظَ,0,وعظ
وزف,وَزَفَ,0,وزف
ودن,وَدِنَ,0,ودن
وذم,وَذِمَ,0,وذم
وبه,وَبِهَ,0,
ودق,وَدِقَ,0,ودق
وذر,وَذِرَ,0,وذر
وقر,وَقِرَ,0,وقر
وعق,وَعِقَ,0,وعق
وحش,وَحِشَ,0,وحش
وحم,وَحِمَ,0,
تخم,تَخِمَ,0,تخم
وره,وَرِهَ,0,وري
ورب,وَرِبَ,0,
وبد,وَبِدَ,0,وبد
وبر,وَبِرَ,0,وبر
وقح,وَقِحَ,0,وقح
وجع,وَجِعَ,0,وجع
وبق,وَبِقَ,0,وبق
ودك,وَدِكَ,0,ودد
ورس,وَرِسَ,0,ورس
وحر,وَحِرَ,0,وحر
ومد,وَمِدَ,0,ومد
وهم,وَهِمَ,0,
وحن,وَحِنَ,0,وحن
وفق,وَفِقَ,0,وفق
ورث,وَرِثَ,0,ورث
وجل,وَجِلَ,0,وجل
ورع,وَرِعَ,0,ورع
وحف,وَحِفَ,0,وحف
ولع,وَلِعَ,0,ولع
وعث,وَعِثَ,0,وعث
ورش,وَرِشَ,0,ورش
وجر,وَجِرَ,0,وجر
وحل,وَحِلَ,0,وحل
وله,وَلِهَ,0,
وكف,وَكِفَ,0,وكف
وشق,وَشِقَ,0,وشق
وغر,وَغِرَ,0,وغر
وصب,وَصِبَ,0,وصب
وعر,وَعِرَ,0,وعر
وره,وَرِهَ,0,وري
وضح,وَضِحَ,0,وضح
وقع,وَقِعَ,0,وقع
ورك,وَرِكَ,0,وري
وخم,وَخِمَ,0,وخم
وبش,وَبِشَ,0,وبش
وكب,وَكِبَ,0,وكب
وضع,وَضِعَ,0,وضع
ورم,وَرِمَ,0,ورم
ايراق,اِيراقَّ,0,ورق
يمن,يَمُنَ,0,يمن
يقظ,يَقُظَ,0,يقظ
يتم,يَتُمَ,0,يتم
يسر,يَسُرَ,0,يسر
أيتم,أَيْتَمَ,0,يتم
أيسر,أَيْسَرَ,0,يسر
أيفع,أَيْفَعَ,0,يفع
أينع,أَيْنَعَ,0,ينع
أيقظ,أَيْقَظَ,0,يقظ
أيبس,أَيْبَسَ,0,يبس
أيقن,أَيْقَنَ,0,يقق
أيمن,أَيْمَنَ,0,ءيم
باخ,بَاخَ,0,بوخ
شاط,شَاطَ,0,شوط
حاج,حَاجَ,1,حجج
داك,دَاكَ,0,
حاق,حَاقَ,0,حقق
حاط,حَاطَ,0,حوط
حاض,حَاضَ,0,حضض
نال,نَالَ,0,نول
حاد,حَادَ,1,حدد
حاش,حَاشَ,0,حشي
حام,حَامَ,0,حمي
ثاب,ثَابَ,0,ثوب
جاب,جَابَ,0,جوب
حال,حَالَ,1,حول
تاق,تَاقَ,0,
جاش,جَاشَ,0,جوش
جاد,جَادَ,0,جود
خال,خَالَ,0,خول
ذاب,ذَابَ,0,ذوب
راح,رَاحَ,0,
خال,خَالَ,0,خول
عاص,عَاصَ,0,عصي
دار,دَارَ,1,دري
داس,دَاسَ,0,دوس
خار,خَارَ,0,خير
قات,قَاتَ,1,قوت
داح,دَاحَ,0,دوح
نار,نَارَ,1,نور
طاع,طَاعَ,0,طوع
دام,دَامَ,0,دوم
صاع,صَاعَ,1,صوع
لاث,لَاثَ,0,لوث
قال,قَالَ,0,قول
راق,رَاقَ,0,روق
سار,سَارَ,0,سرر
زاح,زَاحَ,0,زوح
راد,رَادَ,0,ردد
جاز,جَازَ,1,جزي
حاف,حَافَ,0,حفو
بار,بَارَ,0,بري
ماق,مَاقَ,0,
راض,رَاضَ,0,رضو
زاد,زَادَ,1,زود
زار,زَارَ,0,زور
دال,دَالَ,1,دول
راز,رَازَ,0,روز
زال,زَالَ,0,
ساخ,سَاخَ,0,سوخ
ساس,سَاسَ,0,سوس
كار,كَارَ,0,كري
صاف,صَافَ,0,صفف
فات,فَاتَ,0,فوت
راق,رَاقَ,0,روق
راد,رَادَ,0,ردد
عاف,عَافَ,0,عفو
ساع,سَاعَ,0,سعي
شاه,شَاهَ,1,شاه
فاح,فَاحَ,0,فوح
عاج,عَاجَ,1,عوج
فاق,فَاقَ,0,فوق
ساط,سَاطَ,0,سوط
ناب,نَابَ,0,نوب
ران,رَانَ,0,رون
هان,هَانَ,0,هون
طاس,طَاسَ,1,طوس
حات,حَاتَ,0,حوت
حاز,حَازَ,0,حوز
دان,دَانَ,0,دنو
خان,خَانَ,1,خون
جاس,جَاسَ,0,جوس
فاق,فَاقَ,0,فوق
قاف,قَافَ,1,قوف
عاد,عَادَ,0,
مال,مَالَ,1,مول
صام,صَامَ,0,صوم
شاص,شَاصَ,0,شوص
لاع,لَاعَ,0,لوع
راش,رَاشَ,0,رشي
صال,صَالَ,0,صول
شال,شَالَ,1,شول
صار,صَارَ,0,
زاغ,زَاغَ,1,زوغ
جاع,جَاعَ,0,جوع
زاغ,زَاغَ,1,زوغ
شاظ,شَاظَ,0,شوظ
حار,حَارَ,0,
طاق,طَاقَ,1,
ضاع,ضَاعَ,0,ضوع
صاخ,صَاخَ,0,صوخ
صات,صَاتَ,1,صتت
لاك,لَاكَ,0,لوك
شاك,شَاكَ,0,شكو
طال,طَالَ,0,
خار,خَارَ,0,خير
حال,حَالَ,1,حول
كان,كَانَ,0,
قاض,قَاضَ,0,قضي
داه,دَاهَ,0,دهي
جاد,جَادَ,0,جود
خاض,خَاضَ,0,خوض
جاح,جَاحَ,0,جوح
جاد,جَادَ,0,جود
باح,بَاحَ,0,بوح
ناع,نَاعَ,0,نوع
عاذ,عَاذَ,0,عوذ
لاف,لَافَ,0,لفف
جال,جَالَ,0,
عام,عَامَ,0,عوم
عار,عَارَ,0,عور
عاض,عَاضَ,0,عضض
قاس,قَاسَ,0,قسو
عال,عَالَ,0,علو
غاص,غَاصَ,0,غوص
عاق,عَاقَ,0,عقق
قاق,قَاقَ,1,قوق
فاه,فَاهَ,1,
فاق,فَاقَ,0,فوق
ذاق,ذَاقَ,0,ذوق
لاذ,لَاذَ,0,لوذ
قاد,قَادَ,0,قود
راغ,رَاغَ,0,
غار,غَارَ,1,غرر
ماج,مَاجَ,0,موج
لام,لَامَ,1,لوم
قام,قَامَ,0,
شار,شَارَ,0,شرر
مات,مَاتَ,0,
مار,مَارَ,0,مرر
لاج,لَاجَ,0,لج ج
ماس,مَاسَ,0,مسس
ماه,مَاهَ,0,ميه
قار,قَارَ,0,قرر
ناح,نَاحَ,0,نوح
ناش,نَاشَ,0,نوش
قاع,قَاعَ,1,قيع
ثار,ثَارَ,0,ثور
حاك,حَاكَ,0,حكك
باس,بَاسَ,0,بوس
صان,صَانَ,0,صون
سام,سَامَ,0,سمو
طاد,طَادَ,0,طود
ضار,ضَارَ,0,ضرر
جار,جَارَ,0,جرر
داف,دَافَ,0,دوف
شاع,شَاعَ,0,شوع
شاق,شَاقَ,0,شقق
نار,نَارَ,1,نور
راج,رَاجَ,0,روج
شاف,شَافَ,0,شوف
بال,بَالَ,0,بلي
غاث,غَاثَ,0,غوث
لات,لَاتَ,1,
حاز,حَازَ,0,حوز
هار,هَارَ,0,هور
هان,هَانَ,0,هون
هاش,هَاشَ,0,
ناه,نَاهَ,0,نوه
عاد,عَادَ,0,
ساط,سَاطَ,0,سوط
لاه,لَاهَ,0,لوه
هاد,هَادَ,0,هدي
ناف,نَافَ,0,نفي
ناض,نَاضَ,0,نوض
تاب,تَابَ,0,توب
ماص,مَاصَ,0,موص
صاب,صَابَ,0,صوب
زاج,زَاجَ,0,زوج
مات,مَاتَ,0,
راس,رَاسَ,0,روس
ذاد,ذَادَ,0,ذود
نام,نَامَ,0,نوم
صاغ,صَاغَ,0,صوغ
ساق,سَاقَ,0,سقي
راح,رَاحَ,0,
غار,غَارَ,1,غرر
طاح,طَاحَ,0,طوح
هال,هَالَ,1,هلل
ساغ,سَاغَ,0,سوغ
راب,رَابَ,0,ربو
لاط,لَاطَ,0,لوط
ناب,نَابَ,0,نوب
ساد,سَادَ,0,سود
جام,جَامَ,1,جوم
طار,طَارَ,1,طور
راع,رَاعَ,0,رعي
فاز,فَازَ,0,فوز
فار,فَارَ,0,فرر
حار,حَارَ,0,
شاب,شَابَ,0,شوب
راث,رَاثَ,0,ريث
لاح,لَاحَ,0,لحي
ناس,نَاسَ,1,نوس
عاج,عَاجَ,1,عوج
ناط,نَاطَ,0,نوط
حاك,حَاكَ,0,حكك
طاف,طَافَ,0,طيف
غار,غَارَ,1,غرر
راح,رَاحَ,0,
خاف,خَافَ,0,خوف
داد,دَادَ,0,دود
خال,خَالَ,0,خول
راح,رَاحَ,0,
حار,حَارَ,0,
نام,نَامَ,0,نوم
ساس,سَاسَ,0,سوس
شاك,شَاكَ,0,شكو
نام,نَامَ,0,نوم
راح,رَاحَ,0,
هاب,هَابَ,0,هيب
أضاع,أَضَاعَ,0,ضيع
أعال,أَعَالَ,0,عول
أفاض,أَفَاضَ,0,فيض
أخاف,أَخَافَ,0,خوف
أراح,أَرَاحَ,0,روح
أراق,أَرَاقَ,0,روق
أبان,أَبَانَ,0,بين
أصاب,أَصَابَ,0,صوب
